Posting Date,Container No,Glue,Merge No,Lusture,Pulp,Lot No,Grade,FSC,Supplier,Item,Cone (Batches),Batch ID (Batches),Warehouse (Batches),Supplier Batch No (Batches),Item (Batches),Batch Quantity (Batches),Batch Uom (Batches),Box NO
12/12/25,MIJC-103,CENT.,.,BRIGHT,COTTON,29122020,A EVEN,,JILIN,600D/100F,5,AARSH SYNTHETICS,,,600D/100F,5.88,Nos,759
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052379,,,120D/48F RED TINT,23.92,Nos,379
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,0,12990521,,,120D/48F RED TINT,26.8,Nos,1
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,13,1299052107,,,120D/48F RED TINT,26.24,Nos,107
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,12990522,,,120D/48F RED TINT,36.88,Nos,2
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,14,129905284,,,120D/48F RED TINT,28.28,Nos,84
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,13,12990524,,,120D/48F RED TINT,25.3,Nos,4
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,9,129905225,,,120D/48F RED TINT,25.53,Nos,25
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052103,,,120D/48F RED TINT,26.61,Nos,103
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052366,,,120D/48F RED TINT,24.25,Nos,366
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,28,12990523,,,120D/48F RED TINT,10.12,Nos,3
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,14,1299052120,,,120D/48F RED TINT,26.14,Nos,120
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052138,,,120D/48F RED TINT,23.34,Nos,138
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052158,,,120D/48F RED TINT,22.73,Nos,158
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,11,1299052344,,,120D/48F RED TINT,30.62,Nos,344
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,7,1299052347,,,120D/48F RED TINT,20.65,Nos,347
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052360,,,120D/48F RED TINT,28.78,Nos,360
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,12,1299052361,,,120D/48F RED TINT,22.49,Nos,361
12/12/25,MIJC-129,.,.,.,COTTON,9052022,.,,AARSH SYNTHETICS,120D/48F RED TINT,14,1299052119,,,120D/48F RED TINT,28.34,Nos,119
