Posting Date,Container No,Glue,Merge No,Lusture,Pulp,Lot No,Grade,FSC,Supplier,Item,ID (Batches),Cone (Batches),Batch ID (Batches),Warehouse (Batches),Supplier Batch No (Batches),Item (Batches),Batch Quantity (Batches),Batch Uom (Batches),Box No
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,719,20,-02.719,,,120D/4F BRT.SIZE HG,13.94,Nos,719
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,721,21,-02.721,,,120D/4F BRT.SIZE HG,15.71,Nos,721
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,723,23,-02.723,,,120D/4F BRT.SIZE HG,15.17,Nos,723
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,724,20,-02.724,,,120D/4F BRT.SIZE HG,15.22,Nos,724
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,726,21,-02.726,,,120D/4F BRT.SIZE HG,15.95,Nos,726
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,728,20,-02.728,,,120D/4F BRT.SIZE HG,16.23,Nos,728
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,732,24,-02.732,,,120D/4F BRT.SIZE HG,16.8,Nos,732
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,738,23,-02.738,,,120D/4F BRT.SIZE HG,17.01,Nos,738
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,742,26,-02.742,,,120D/4F BRT.SIZE HG,16.62,Nos,742
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,744,25,-02.744,,,120D/4F BRT.SIZE HG,16.21,Nos,744
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,746,21,-02.746,,,120D/4F BRT.SIZE HG,15.91,Nos,746
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,750,25,-02.750,,,120D/4F BRT.SIZE HG,15.86,Nos,750
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,752,22,-02.752,,,120D/4F BRT.SIZE HG,13.47,Nos,752
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,754,25,-02.754,,,120D/4F BRT.SIZE HG,15.53,Nos,754
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,757,24,-02.757,,,120D/4F BRT.SIZE HG,16.39,Nos,757
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,762,19,-02.762,,,120D/4F BRT.SIZE HG,14.95,Nos,762
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,764,20,-02.764,,,120D/4F BRT.SIZE HG,15.5,Nos,764
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,766,19,-02.766,,,120D/4F BRT.SIZE HG,15.03,Nos,766
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,769,21,-02.769,,,120D/4F BRT.SIZE HG,15.21,Nos,769
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,773,20,-02.773,,,120D/4F BRT.SIZE HG,13.99,Nos,773
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,778,20,-02.778,,,120D/4F BRT.SIZE HG,14.57,Nos,778
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,781,22,-02.781,,,120D/4F BRT.SIZE HG,14.68,Nos,781
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,783,21,-02.783,,,120D/4F BRT.SIZE HG,15.01,Nos,783
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,786,20,-02.786,,,120D/4F BRT.SIZE HG,15.61,Nos,786
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,789,23,-02.789,,,120D/4F BRT.SIZE HG,14.9,Nos,789
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,793,23,-02.793,,,120D/4F BRT.SIZE HG,15.6,Nos,793
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,795,23,-02.795,,,120D/4F BRT.SIZE HG,16.58,Nos,795
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,802,21,-02.802,,,120D/4F BRT.SIZE HG,16.09,Nos,802
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,804,23,-02.804,,,120D/4F BRT.SIZE HG,14.98,Nos,804
12/12/25,MARV-02,.,.,.,.,.,.,NON FSC,SYNFAB MILLS,120D/4F BRT.SIZE HG,806,21,-02.806,,,120D/4F BRT.SIZE HG,15.33,Nos,806
